rank,avg_ev,pred_ev,,
892,3.18,1.9,,
893,2.94,1.9,,
894,2.69,1.9,,
895,2.36,1.89,,
896,2.32,1.89,,
897,2.26,1.88,,
898,2.49,1.88,,
899,2.65,1.88,,
900,2.55,1.87,,
901,2.02,1.87,,
902,0.89,1.87,,
903,0.87,1.86,,
904,0.92,1.86,,
905,0.87,1.85,,
906,1.04,1.85,,
907,0.89,1.85,,
908,1.41,1.84,,
909,1.73,1.84,,
910,1.97,1.84,,
911,2,1.83,,
912,2.35,1.83,,
913,2.32,1.83,,
914,2.37,1.82,,
915,2.27,1.82,,
916,2.69,1.81,,
917,2.59,1.81,,
918,2.16,1.81,,
919,1.68,1.8,,
920,1.49,1.8,,
921,1.28,1.8,,
922,1.28,1.79,,
923,1.31,1.79,,
924,1.06,1.79,,
925,0.96,1.78,,
926,0.92,1.78,,
927,0.65,1.78,,
928,0.62,1.77,,
929,0.34,1.77,,
930,0.31,1.77,,
931,0.53,1.76,,
932,0.54,1.76,,
933,0.5,1.76,,
934,0.49,1.75,,
935,0.6,1.75,,
936,0.96,1.74,,
937,1.05,1.74,,
938,0.93,1.74,,
939,1,1.73,,
940,0.92,1.73,,
941,0.91,1.73,,
942,0.55,1.72,,
943,0.49,1.72,,
944,0.51,1.72,,
945,0.51,1.71,,
946,0.5,1.71,,
947,0,1.71,,
948,0.44,1.7,,
949,0.44,1.7,,
950,1.94,1.7,,
951,2.14,1.69,,
952,3.3,1.69,,
953,3.34,1.69,,
954,3.69,1.68,,
955,3.93,1.68,,
956,3.83,1.68,,
957,3.59,1.67,,
958,3.27,1.67,,
959,3.53,1.67,,
960,3.85,1.66,,
961,3.1,1.66,,
962,3.07,1.66,,
963,2.12,1.65,,
964,1.96,1.65,,
965,2,1.65,,
966,2.1,1.64,,
967,2.49,1.64,,
968,2.59,1.64,,
969,2.69,1.64,,
970,1.71,1.63,,
971,1.68,1.63,,
972,2.67,1.63,,
973,2.51,1.62,,
974,2.64,1.62,,
975,2.94,1.62,,
976,2.94,1.61,,
977,2.72,1.61,,
978,2.16,1.61,,
979,2.21,1.6,,
980,2.43,1.6,,
981,2.18,1.6,,
982,1.94,1.59,,
983,0.59,1.59,,
984,0.54,1.59,,
985,1.35,1.58,,
986,1.25,1.58,,
987,2.14,1.58,,
988,2.14,1.58,,
989,3.21,1.57,,
990,3.21,1.57,,
991,2.98,1.57,,
992,3.19,1.56,,
993,3.69,1.56,,
994,3.75,1.56,,
995,3.48,1.55,,
996,3.7,1.55,,
997,3.39,1.55,,
998,3.04,1.54,,
999,3.22,1.54,,
1000,2.31,1.54,,
1001,2.15,1.54,,
1002,2.21,1.53,,
1003,2.29,1.53,,
1004,1.78,1.53,,
1005,1.54,1.52,,
1006,1.76,1.52,,
1007,1.9,1.52,,
1008,1.87,1.51,,
1009,0.45,1.51,,
1010,0,1.51,,
1011,0.3,1.51,,
1012,0.87,1.5,,
1013,0.87,1.5,,
1014,1.01,1.5,,
1015,0.96,1.49,,
1016,1.27,1.49,,
1017,1.15,1.49,,
1018,1.15,1.48,,
1019,2.04,1.48,,
1020,1.73,1.48,,
1021,2.05,1.48,,
1022,1.86,1.47,,
1023,1.58,1.47,,
1024,1.48,1.47,,
1025,2.22,1.46,,
